Phone_Name,Price,Review_ID,Author,Location,Rating,Title,Review,Age
"Apple iPhone XR (Yellow, 128 GB) (Includes EarPods, Power Adapter)","₹52,900",review-12c584aa-21c6-424a-9667-2b50bc3cee20,Aakaash Ghosh, Mugkalyan,5,Fabulous!,Writing this review after using 7days.Upgrading android to iOS... and XR is a beast in this price segment.Display- 5+Os- 5+Camera- 5+Sound- 5+Battery backup- 5+ (I am not a gamer... )Don’t worry Go for it... ❤️ honestly no one can beat XR...Thanks Flipkart and SuperComNet,"Mar, 2021"
"Apple iPhone XR (Yellow, 128 GB) (Includes EarPods, Power Adapter)","₹52,900",review-fd9dedd5-471b-479d-b7aa-e8b53883ace2,Nidhi Rawat, New Delhi,5,Great product,Really the most amazing iPhone. Camera quality and battery backup is too good,"Sep, 2021"
"Apple iPhone XR (Yellow, 128 GB) (Includes EarPods, Power Adapter)","₹52,900",review-faef1bcf-6df1-4566-97f9-348ce9eb5975,Flipkart Customer, Gohpur,5,Worth every penny,It's so good with a medium size screen and much better camera. It's still worth in 2021. Go for it.,"Aug, 2021"
"Apple iPhone XR (Yellow, 128 GB) (Includes EarPods, Power Adapter)","₹52,900",review-f01828d0-e6cc-4759-8121-7b464f327892,akash pathak, New Delhi,5,Simply awesome,Awesome device,"May, 2020"
"Apple iPhone XR (Yellow, 128 GB) (Includes EarPods, Power Adapter)","₹52,900",review-cac2cfa8-6638-41c4-814a-5794d218626c,Flipkart Customer, Madhyamgram,5,Brilliant,Excellent product. Good deal with Flipkart.,"Oct, 2020"
"Apple iPhone XR (Yellow, 128 GB) (Includes EarPods, Power Adapter)","₹52,900",review-73fd1b9d-fe4b-4d7d-aafa-13d07b4ea951,Soumyajit Chanda, Murshidabad,5,Perfect product!,Camera Sample is here guysIt gives more than i expected as a entry level iPhone,"Nov, 2020"
"Apple iPhone XR (Yellow, 128 GB) (Includes EarPods, Power Adapter)","₹52,900",review-93c50622-18e1-4294-b3c0-565b15fdbe9e,Simran Mollick, Nalbari,5,Great product,Awsome,"Mar, 2021"
"Apple iPhone XR (Yellow, 128 GB) (Includes EarPods, Power Adapter)","₹52,900",review-d4e5b9ce-5faa-46d1-810e-7e749948a2b8,Sipun Kumar, Bhubaneswar,5,Terrific,Amazing.,"Jun, 2020"
"Apple iPhone XR (Yellow, 128 GB) (Includes EarPods, Power Adapter)","₹52,900",review-652ffdac-9ac5-4485-bc91-3fdade094f61,Adesh tomar Tomar, Baraut,5,Classy product,"Most durable and good looking deviceIf you want to spent less but want flagship level experience , you should buy this🤗","Mar, 2021"
"Apple iPhone XR (Yellow, 128 GB) (Includes EarPods, Power Adapter)","₹52,900",review-a0d64150-9c57-40c1-b351-530feb3625d8,Flipkart Customer, Kothamangalam,5,Classy product,Awesome camera experience 😍😍,"Aug, 2020"
"Apple iPhone XR (Yellow, 128 GB) (Includes EarPods, Power Adapter)","₹52,900",review-91578d38-fb24-427a-ba61-9e5ba53da3c9,sunny khadkha, Jaipur,5,Worth every penny,Best phone best camera everything is best,"Nov, 2020"
"Apple iPhone XR (Yellow, 128 GB) (Includes EarPods, Power Adapter)","₹52,900",review-b7cf5090-d252-4eb6-8138-c46bd72dcfeb,koushik Koushik, Tenali,5,Perfect product!,Good,"Dec, 2020"
"Apple iPhone XR (Yellow, 128 GB) (Includes EarPods, Power Adapter)","₹52,900",review-1378d5ab-0aa5-4b46-96d7-60d60a7d4861,Kuldeep Verma, Shikohabad,5,Super!,Camera -🌟🌟🌟🌟Performance -🌟🌟🌟🌟Design -🌟🌟🌟Software Update -🌟🌟🌟🌟🌟Available Colours -🌟🌟🌟🌟Battery -🌟🌟🌟🌟iOS - 🌟🌟🌟🌟🌟,"Aug, 2020"
"Apple iPhone XR (Yellow, 128 GB) (Includes EarPods, Power Adapter)","₹52,900",review-5de94739-ebd4-45c7-9cbf-78a8eec6fb30,Aditya Kumar, New Delhi,5,Simply awesome,"Brilliant iOS 13,  Amazing camera, Excellent battery life, premium experience.  Better than iPhone X","Nov, 2019"
"Apple iPhone XR (Yellow, 128 GB) (Includes EarPods, Power Adapter)","₹52,900",review-6b6bb7eb-cef6-4981-a88c-d27fdf967f63,Flipkart Customer, Ahmedabad,5,Great product,Very Happy with the product highly recommend everyone to go for this product. WORTH BUYING...♥️,"Feb, 2021"
"Apple iPhone XR (Yellow, 128 GB) (Includes EarPods, Power Adapter)","₹52,900",review-728c20dd-1aac-4779-9924-1cde3fa48bb4,Gyanjit Boruah, Jorhat District,5,Fabulous!,Great phone...,"Sep, 2021"
"Apple iPhone XR (Yellow, 128 GB) (Includes EarPods, Power Adapter)","₹52,900",review-a0f9bb98-d27f-404f-8d4c-6e00c62605e8,Sagar  Kumar, Puri,5,Must buy!,Really Amazing phone by apple🥰🥰I’m satisfied 😍,"Feb, 2021"
